score	group
13	C
36	A
30	A
31	A
13	A
5	C
42	A
26	A
47	B
8	A
29	B
45	A
19	C
33	C
24	A
11	A
19	A
47	C
23	C
19	C
46	A
37	A
16	C
36	A
40	A
47	A
28	A
37	C
49	A
16	C
18	C
28	A
7	C
21	A
4	A
48	C
42	A
30	C
7	B
9	B
13	A
29	A
42	C
45	A
2	A
28	B
47	B
46	B
45	B
5	B
78	B
59	A
70	C
91	B
74	A
83	B
72	A
54	B
64	B
65	B
52	A
76	C
69	B
85	B
66	B
62	B
57	B
87	C
74	B
75	B
93	C
81	B
72	B
62	A
66	B
89	B
91	B
77	B
54	C
57	B
79	B
56	B
94	B
94	A
73	A
82	B
75	A
91	B
94	C
58	C
81	A
56	B
93	B
77	A
83	B
81	A
75	B
77	B
75	B
94	A
126	C
105	B
115	C
119	C
106	B
113	C
139	C
116	B
144	C
139	B
127	A
114	C
139	C
120	C
147	C
107	C
136	B
149	C
103	B
131	A
116	C
110	C
110	A
142	C
137	C
119	C
129	A
130	B
145	C
140	C
141	C
144	C
103	C
147	C
108	A
123	C
146	C
135	C
123	A
116	A
141	B
142	B
146	C
135	C
113	C
123	B
138	C
103	C
126	C
113	C
